Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,2,0.0121,1996,
FLRP,Royal Palm-Homestead,25.4333,-80.5,2,0.0678,1996,
UTPR,Provo,40.2526,-111.6688,2,0.0166,1996,
MOCO,Columbia,38.8915,-92.3348,2,0.015,1996,
TXBL,Buffalo Lake N.W.R.,34.9187,-102.0428,2,0.1176,1996,
FLCR,Crystal River,28.8712,-82.5776,2,0.0255,1996,
LAPP,Pine Prairie,30.7643,-92.3765,1,0.0123,1996,
TXPM,Palmetto S.P.,29.5833,-97.5833,1,0.0154,1996,
MS09,Noxubee N.W.R.,33.2833,-88.7833,1,0.0124,1996,
GADA,Dalton,34.7667,-84.9667,1,0.1111,1996,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,1,0.0385,1996,
OKSE,Sequoyah,34.4985,-94.9695,1,0.032,1996,
COGJ,Grand Junction,39.1208,-108.6081,1,0.0077,1996,
CASH,Salton Sea (north),33.5179,-116.1031,1,0.0128,1996,
OKWA,Washita N.W.R.,35.6495,-99.2797,1,0.0167,1996,
TXBU,Bell County,30.9667,-97.45,1,0.0313,1996,
NMPM,Peloncillo Mountains,31.7434,-108.9236,1,0.0104,1996,
KYLO,Louisville,38.2929,-85.6284,cw,0,1996,
INJC,Johnson County,39.4103,-86.0668,cw,0,1996,
CAMO,Modoc N.W.R.,41.45,-120.5167,cw,0,1996,
