Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
FLSB,South Brevard County,27.8486,-80.55,103,0.7305,1997,
TXPA,Port Aransas,27.8502,-97.1,103,0.9537,1997,
NMGR,Gila River,32.9152,-108.584,99,1.8249,1997,
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,97,12.125,1997,
FLST,Stuart,27.2121,-80.2624,91,0.4035,1997,
FLME,Melrose,29.748,-81.9929,82,1.2377,1997,
FLTH,Tallahassee,30.5291,-84.2364,77,0.88,1997,
FLMR,Myakka River S.P.,27.233,-82.236,71,0.9759,1997,
TXQU,Quitaque,34.4346,-101.0739,70,1.9444,1997,
NMLO,Loving,32.291,-104.0667,67,1.7632,1997,
CALS,Los Baños,37.0612,-120.8849,62,0.6703,1997,
FLAP,Avon Park A.F. Range,27.6501,-81.3167,60,0.75,1997,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,59,1.4937,1997,
AZPO,Portal,31.9009,-109.1364,57,0.3986,1997,
MIDO,Dowagiac,41.9667,-86.0833,55,1.6667,1997,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,46,0.6667,1997,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,45,1.1538,1997,
FLVB,Vero Beach,27.6667,-80.4167,44,0.4632,1997,
FLSR,Sarasota,27.2841,-82.4976,40,0.3587,1997,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,39,0.9873,1997,
FLLA,Lakeland,28.0261,-81.8507,38,0.2868,1997,
FLFP,Fort Pierce,27.4177,-80.3828,35,0.303,1997,
FLPR,Peace River,26.9243,-82.0474,35,0,1997,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,34,0.3333,1997,
FLWR,Wekiva River,28.7863,-81.3679,33,0.3793,1997,
INLA,Lafayette,40.4605,-86.9157,30,0.3261,1997,
FLVE,Venice-Englewood,27.0048,-82.3793,29,0.2578,1997,
NMLA,Lakes Avalon-Brantley,32.5661,-104.294,27,0.7714,1997,
MSJC,Jackson County,30.4366,-88.7119,27,0.3971,1997,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,27,0.3086,1997,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,26,0.2407,1997,
TXST,San Antonio,29.3148,-98.608,26,0.1633,1997,
CAFR,Fall River Mills,41.0616,-121.4899,25,0.4367,1997,
TXGA,Galveston,29.3333,-94.8333,23,0.2651,1997,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,23,0.8519,1997,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,21,0.2353,1997,
CALW,LaGrange-Waterford,37.6531,-120.5876,20,0.3478,1997,
LAST,St. Tammany Parish,30.4211,-90.0886,20,0.1639,1997,
FLTA,Tampa,28.0107,-82.4595,19,0.263,1997,
KYFR,Frankfort,38.2271,-84.8525,19,0.6667,1997,
OHWO,Wooster,40.7464,-82.0189,16,0.3404,1997,
MXRR,"Rancho Rincon de Anacahuitas, Tamaulipas, Mexico",25.5833,-97.5,15,1.5,1997,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,14,0.4179,1997,
NMLC,Las Cruces,32.3,-106.7167,14,0.1642,1997,
TNNL,Nickajack Lake,35.0664,-85.5113,13,0.163,1997,
COMO,Montrose,38.5002,-107.8674,12,0.3,1997,
AZGR,Gila River,33.3071,-112.6833,12,0.0642,1997,
FLBA,Bradenton,27.501,-82.5631,11,0.1226,1997,
ALGS,Gulf Shores,30.3167,-87.6333,11,0.0797,1997,
FLAL,Alafia Banks,27.792,-82.3349,11,0.2619,1997,
TXOR,Old River,29.8776,-94.7263,10,0.1303,1997,
NMLV,Las Vegas,35.595,-105.2152,9,0.4737,1997,
FLPI,Ponce Inlet,29.0623,-81.0073,9,0.0968,1997,
FLNP,North Pinellas,28.0672,-82.7388,9,0.0313,1997,
GASC,St. Catherines Island,31.6351,-81.1226,7,0.0795,1997,
KYLE,Lexington,37.9227,-84.4719,6,0.0952,1997,
TNCH,Chattanooga,35.104,-85.2292,6,0.0517,1997,
FLJA,Jacksonville,30.4152,-81.4877,5,0.0392,1997,
TXPM,Palmetto S.P.,29.5833,-97.5833,5,0.0671,1997,
TXBF,Buffalo Bayou,29.7715,-95.5699,4,0.0314,1997,
SCCL,Clemson,34.6346,-82.8365,3,0.0571,1997,
CABA,Bakersfield,35.4311,-118.9173,2,0.0241,1997,
NCIC,Iredell County,35.8967,-80.8997,2,0.0506,1997,
INLM,Lake Monroe,39.0152,-86.3984,2,0.0195,1997,
KYLO,Louisville,38.2929,-85.6284,2,0.0197,1997,
ILCI,Chillicothe,40.8966,-89.4966,2,0.0339,1997,
CAMO,Modoc N.W.R.,41.45,-120.5167,2,0.0516,1997,
MTST,Stevensville,46.513,-114.0922,2,0.0252,1997,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,1,0.0076,1997,
MXEJ,"Ejido San Pedro, Chihuahua, Mexico",30.7765,-108.4658,1,0.0094,1997,
NDTE,Tewaukon N.W.R.,46,-97.4167,1,0.1,1997,
MTHA,Hamilton,46.2526,-114.1269,1,0.019,1997,
VACL,Central Loudon,39.0905,-77.6198,1,0.0102,1997,
ALMO,Montgomery,32.3496,-86.3831,1,0.0182,1997,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,1,0.0113,1997,
FLCB,Choctawhatchee Bay,30.4462,-86.5182,1,0.0084,1997,
FLSM,St. Marks,30.1536,-84.2227,1,0.0127,1997,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,1,0.0308,1997,
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,1,0.0185,1997,
INOR,Ohio River,39.1021,-84.9016,1,0.0385,1997,
OHOT,Ottawa N.W.R.,41.6114,-83.2006,1,0.0294,1997,
OHGL,Grand Lake-St. Marys,40.5168,-84.5,1,0.0313,1997,
OHHF,Hamilton-Fairfield,39.4004,-84.536,cw,0,1997,
CASS,Salton Sea (south),33.1579,-115.6132,cw,0,1997,
ILWA,Waukegan,42.3493,-87.8742,cw,0,1997,
FLWP,West Palm Beach,26.5672,-80.127,cw,0,1997,
ILLA,Lisle Arboretum,41.7518,-87.9738,cw,0,1997,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,cw,0,1997,
FLCR,Crystal River,28.8712,-82.5776,cw,0,1997,
INJC,Johnson County,39.4103,-86.0668,cw,0,1997,
