Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXAB,Abilene,32.3501,-99.7502,13,0.26,1999,
TXFW,Fort Worth,32.7661,-97.4715,13,0.0861,1999,
WATO,Toppenish N.W.R.,46.3609,-120.4179,12,0.1846,1999,
CASS,Salton Sea (south),33.1579,-115.6132,11,0.1594,1999,
ALGS,Gulf Shores,30.3167,-87.6333,10,0.0676,1999,
TXAY,Armand Bayou,29.5498,-95.0489,10,0.113,1999,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,9,0.1324,1999,
TXBA,Balmorhea,30.9858,-103.7459,9,0.1395,1999,
CACP,Carrizo Plain,35.25,-119.85,8,0.2286,1999,
NMCC,Carlsbad Caverns N.P.,32.1772,-104.5029,8,0.1584,1999,
INPC,Posey County,37.8924,-87.9421,7,0.1591,1999,
ILRL,Rend Lake,38.1324,-88.9677,7,0.1609,1999,ED
GASC,St. Catherines Island,31.6351,-81.1226,7,0.0667,1999,
AZGR,Gila River,33.3071,-112.6833,7,0.0461,1999,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,6,0.0625,1999,
FLNP,North Pinellas,28.0672,-82.7388,5,0.0546,1999,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,4,0.0457,1999,
TNCC,Cross Creeks N.W.R.,36.476,-87.7528,4,0.0833,1999,
FLPI,Ponce Inlet,29.0623,-81.0073,4,0.064,1999,
OHGR,Grand Rapids-Waterville,41.506,-83.807,4,0.0808,1999,
ININ,Indianapolis,39.8694,-86.0389,4,0.0417,1999,
GADA,Dalton,34.7667,-84.9667,3,0.375,1999,
MSSH,Southern Hancock County,30.2906,-89.5034,3,0.0303,1999,GD
FLCR,Crystal River,28.8712,-82.5776,3,0.038,1999,
FLWP,West Palm Beach,26.5672,-80.127,3,0.0303,1999,
INSC,Southern Lake County,41.32,-87.3098,3,0.1111,1999,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,3,0.0674,1999,
LAPP,Pine Prairie,30.7643,-92.3765,3,0.0346,1999,
OHBU,Burton,41.4744,-81.2034,2,0.036,1999,
MIDE,Detroit,42.7213,-83.551,2,0.0163,1999,
WAEV,Everett-Marysville,48.0833,-122.2167,2,0.0228,1999,
OKSC,Stephens County,34.5667,-97.7833,2,0.0325,1999,
WIPO,Poynette,43.3955,-89.3953,2,0.0218,1999,
BCLA,Ladner,49.0538,-123.0573,2,0.0109,1999,
BCCH,Chilliwack,49.1113,-121.9436,2,0.0308,1999,ND
ONPP,Point Pelee,42.0186,-82.5265,2,0.0173,1999,GD
NJAS,Assunpink,40.16,-74.4242,2,0.0247,1999,PS MO
INLA,Lafayette,40.4605,-86.9157,2,0.0186,1999,
TNCH,Chattanooga,35.104,-85.2292,2,0.0209,1999,
GABL,Bainbridge-Lake Seminole,30.885,-84.6315,2,0.0611,1999,
WIGB,Green Bay,44.4804,-88.0246,2,0.0235,1999,
FLDB,Daytona Beach,29.25,-81.1167,2,0.0494,1999,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,2,0.0122,1999,
MICL,Clinton,42.0916,-84.0351,1,0.0245,1999,
MIPO,Pontiac,42.7899,-83.2459,1,0.006,1999,
SCSN,Santee N.W.R.,33.5104,-80.408,1,0.0165,1999,ED
CAMO,Modoc N.W.R.,41.45,-120.5167,1,0.0308,1999,
OHGV,Greenville,40.0992,-84.6072,1,0.025,1999,
MOCO,Columbia,38.8915,-92.3348,1,0.0056,1999,
MIKA,Kalamazoo,42.2963,-85.6482,1,0.0087,1999,
OHTO,Toledo,41.65,-83.5333,1,0.0253,1999,
COPE,Penrose,38.3907,-105.144,1,0.0135,1999,
IDSV,Sun Valley,43.3081,-114.067,1,0.0417,1999,ED
UTSL,Salt Lake City,40.7695,-111.8884,1,0.0118,1999,
WIWT,Wautoma,44.1144,-89.191,1,0.028,1999,
NVAM,Ash Meadows N.W.R.,36.4253,-116.2915,1,0.0333,1999,
WIPP,Pardeeville,43.6337,-89.3609,1,0.0339,1999,
ILLA,Lisle Arboretum,41.7518,-87.9738,1,0.0058,1999,ED
ILHL,Horseshoe Lake,37.2089,-89.3311,1,0.0122,1999,ED
MANF,New Bedford,41.6,-70.8667,1,0.0333,1999,GD
PALV,Lehigh Valley,40.5479,-75.6059,1,0.0084,1999,
INFW,Fort Wayne,41.1998,-85.1328,1,0.0157,1999,
TXST,San Antonio,29.3148,-98.608,cw,0,1999,
INSM,Spring Mill S.P.,38.7233,-86.417,cw,0,1999,
AKWI,Wrangell Island,56.4167,-132.35,cw,0,1999,MD
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.747,cw,0,1999,
INLM,Lake Monroe,39.0152,-86.3984,cw,0,1999,
WAOL,Olympia,47.0722,-122.8533,cw,0,1999,
ILBA,Barrington,42.0668,-88.1333,cw,0,1999,
TXWA,Waco,31.5194,-97.0451,cw,0,1999,
TXBP,Bolivar Peninsula,29.5504,-94.4668,cw,0,1999,
OKSL,Sooner Lake,36.4032,-97.0672,cw,0,1999,
WIKC,Kenosha County,42.5895,-87.9345,cw,0,1999,
OHCI,Cincinnati,39.1,-84.3,cw,0,1999,
