Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
FLLA,Lakeland,28.0261,-81.8507,43,0.3613,1998,
FLSR,Sarasota,27.2841,-82.4976,40,0.367,1998,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,40,0.3941,1998,
TXCT,Coastal Tip,26.0278,-97.2334,40,3.8095,1998,
GABL,Bainbridge-Lake Seminole,30.885,-84.6315,39,1.3,1998,
WIMA,Madison,43.0747,-89.3843,37,0.144,1998,
TNWC,Warren County,35.6748,-85.777,37,1.9474,1998,
ONLP,Long Point,42.6211,-80.3908,36,0.2069,1998,
ALGS,Gulf Shores,30.3167,-87.6333,35,0.2672,1998,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,34,1.0303,1998,
TXGA,Galveston,29.3333,-94.8333,34,0.3192,1998,
TXBA,Balmorhea,30.9858,-103.7459,33,0.9103,1998,
MSJC,Jackson County,30.4366,-88.7119,27,0.6429,1998,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,26,0.2574,1998,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,25,0.5848,1998,
TXMI,Midland,31.95,-102.0333,25,0.3906,1998,
FLBA,Bradenton,27.501,-82.5631,25,0.2101,1998,
OKWA,Washita N.W.R.,35.6495,-99.2797,25,0.5525,1998,
INPR,Pigeon River State Fish & Wildlife Area,41.6418,-85.2771,22,0.5641,1998,
MIHA,Hartland,42.6305,-83.8364,21,0.3684,1998,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,21,0.2577,1998,
TXPA,Port Aransas,27.8502,-97.1,20,0.2346,1998,
MXRR,"Rancho Rincon de Anacahuitas, Tamaulipas, Mexico",25.5833,-97.5,20,0.5882,1998,
FLAL,Alafia Banks,27.792,-82.3349,20,0.3226,1998,
TXQU,Quitaque,34.4346,-101.0739,20,0.678,1998,
KYKL,Kleber W.M.A.,38.4633,-84.7767,19,1.7674,1998,
NMLC,Las Cruces,32.3,-106.7167,17,0.1899,1998,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,17,0.4048,1998,
ILIL,Illini S.P.,41.317,-88.6957,16,0.3516,1998,GD
FLNP,North Pinellas,28.0672,-82.7388,15,0.1376,1998,
OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,15,0.2542,1998,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,14,0.1772,1998,
FLVB,Vero Beach,27.6667,-80.4167,14,0.1591,1998,
FLPS,Port St. Joe,29.7703,-85.2986,14,0.2044,1998,NC
MICL,Clinton,42.0916,-84.0351,13,0.3881,1998,ND
TXHO,Houston,29.7497,-94.9492,13,0.1209,1998,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,12,0.5,1998,
TNCH,Chattanooga,35.104,-85.2292,12,0.1383,1998,
OHWO,Wooster,40.7464,-82.0189,11,0.3143,1998,
TXBP,Bolivar Peninsula,29.5504,-94.4668,11,0.1222,1998,
FLTA,Tampa,28.0107,-82.4595,10,0.1235,1998,
WIKC,Kenosha County,42.5895,-87.9345,9,0.9,1998,GD
GASC,St. Catherines Island,31.6351,-81.1226,9,0.0942,1998,
GAAB,Albany,31.4333,-84.4167,9,0.2571,1998,
INSM,Spring Mill S.P.,38.7233,-86.417,8,0.3333,1998,
INLA,Lafayette,40.4605,-86.9157,8,0.0688,1998,
ILMC,McHenry County,42.3203,-88.365,7,0.0886,1998,
ILBL,Baldwin Lake-Kaskaskia River Valley,38.2858,-89.8397,7,0.1727,1998,ED
TXOR,Old River,29.8776,-94.7263,7,0.1037,1998,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,7,0.0491,1998,
COBL,Barr Lake,39.9721,-104.6955,6,0.2264,1998,
MXRE,"Rancho el Palomino, Chihuahua, Mexico",29.5823,-106.2827,6,0.1846,1998,
CALS,Los Baños,37.0612,-120.8849,6,0.0772,1998,
TXPM,Palmetto S.P.,29.5833,-97.5833,6,0.0803,1998,
ARLV,Lake Village,33.4,-91.3167,5,0.0746,1998,GD
GACH,Chattahoochee National Forest Songbird M.A.,34.8775,-84.6474,5,0.2778,1998,
FLWP,West Palm Beach,26.5672,-80.127,5,0.0541,1998,
TNSA,Savannah,35.1632,-88.1666,3,0.0851,1998,AQ
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,3,0.2308,1998,
ILCR,Calumet City-Sand Ridge,41.6155,-87.5395,3,0.0306,1998,
NMPM,Peloncillo Mountains,31.7434,-108.9236,3,0.0244,1998,
MIAA,Ann Arbor,42.3172,-83.7781,2,0.0166,1998,
MXEJ,"Ejido San Pedro, Chihuahua, Mexico",30.7765,-108.4658,2,0.0252,1998,
FLCR,Crystal River,28.8712,-82.5776,2,0.0252,1998,
ILCI,Chillicothe,40.8966,-89.4966,2,0.0274,1998,
TXBO,Boerne,29.8666,-98.7901,2,0.024,1998,
CALW,LaGrange-Waterford,37.6531,-120.5876,2,0.0351,1998,
ILCL,Chicago Lakefront,41.8823,-87.5854,2,0.1111,1998,ED NC
FLPI,Ponce Inlet,29.0623,-81.0073,2,0.027,1998,
BCLA,Ladner,49.0538,-123.0573,2,0.0149,1998,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,2,0.0125,1998,
CAMS,Mount Shasta,41.5342,-122.4141,2,0.0343,1998,
MTST,Stevensville,46.513,-114.0922,1,0.0095,1998,GD
WIGB,Green Bay,44.4804,-88.0246,1,0.011,1998,
NYOR,L.I.: Orient,41.107,-72.3346,1,0.0052,1998,MO
ILUC,Union County,37.4676,-89.4048,1,0.0085,1998,
TNKN,Knoxville,35.9136,-84.0796,1,0.0176,1998,GD
OHWH,Western Hamilton County,39.2065,-84.6361,1,0.013,1998,
OKSE,Sequoyah,34.4985,-94.9695,1,0.0294,1998,GD
ILEN,Evanston (north shore),42.1379,-87.7882,1,0.0098,1998,NC
ONLO,London,42.9536,-81.3109,1,0.0068,1998,GD
ORUC,Union County,45.25,-117.8833,1,0.0245,1998,
GAAL,Atlanta,33.9667,-84.6667,1,0.0076,1998,
WYEV,Evanston,41.4141,-111.0461,1,0.0244,1998,
IASR,Saylorville Reservoir,41.8038,-93.7562,1,0.0106,1998,ED IM
CAVE,Ventura,34.3484,-119.1921,1,0.0064,1998,MD NU
KYSO,Somerset,37.1025,-84.6038,cw,0,1998,
INHM,Hanover-Madison,38.7382,-85.4706,cw,0,1998,
UTLO,Logan,41.7993,-111.8333,cw,0,1998,
FLTH,Tallahassee,30.5291,-84.2364,cw,0,1998,
COEI,Evergreen-Idaho Springs,39.6765,-105.4264,cw,0,1998,
WIBL,Beloit,42.6137,-89.09,cw,0,1998,
OHKP,Killdeer Plains Wildlife Area,40.6436,-83.3619,cw,0,1998,
TXLU,Lubbock County,33.5849,-101.7925,cw,0,1998,
MDBO,Bowie,38.9927,-76.7852,cw,0,1998,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,cw,0,1998,
ILBA,Barrington,42.0668,-88.1333,cw,0,1998,
OHIL,Indian Lake,40.4833,-83.9167,cw,0,1998,
OHHF,Hamilton-Fairfield,39.4004,-84.536,cw,0,1998,
INRI,Richmond,39.8289,-84.956,cw,0,1998,
INMC,McCormick's Creek S.P.,39.2863,-86.7268,cw,0,1998,
AZGR,Gila River,33.3071,-112.6833,cw,0,1998,
OHGR,Grand Rapids-Waterville,41.506,-83.807,cw,0,1998,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,cw,0,1998,
