"Code","Name","Latitude","Longitude","No_Observed","Number_By_Party_Hours","year","bird"
"TX20","Armand Bayou",29.55,-95.0667,"3",0.0182,"1984","SHC"
"TNNA","Nashville",36.0545,-86.9287,"2",0.0163,"1984","SHC"
"MI0F","Marshall",42.35,-84.9833,"2",0.0952,"1984","SHC"
"BCLA","Ladner",49.0538,-123.0573,"2",0.0108,"1984","SHC"
"TXCR","Crawford",31.556,-97.3556,"2",0.0318,"1984","SHC"
"TXGA","Galveston",29.3333,-94.8333,"2",0.012,"1984","SHC"
"INJC","Johnson County",39.4103,-86.0668,"1",0.012,"1984","SHC"
"AZRC","Ramsey Canyon",31.4599,-110.2068,"1",0.0102,"1984","SHC"
"ILPM","Pere Marquette Park",38.9968,-90.6051,"1",0.0172,"1984","SHC"
"BCCH","Chilliwack",49.1113,-121.9436,"1",0.0149,"1984","SHC"
"TXRU","Ruidosa",29.95,-104.6667,"1",0.0833,"1984","SHC"
"MOML","Montrose Lake Wildlife Area",38.2521,-93.8217,"1",0.0093,"1984","SHC"
"MOSL","Swan Lake N.W.R.",39.6742,-93.2241,"cw",0,"1984","SHC"
"CA1G","Creighton Ranch Preserve",36.1167,-119.5333,"cw",0,"1984","SHC"
"CA2F","Mount Shasta",41.4667,-122.35,"cw",0,"1984","SHC"
"FLBC","Bay County",30.1851,-85.6719,"cw",0,"1984","SHC"
"TXSN","Stanton",32.0833,-101.7,"12307",323.8684,"1985","SHC"
"NMBD","Bosque del Apache N.W.R.",33.8051,-106.8907,"11000",379.3103,"1985","SHC"
"TXBS","Big Spring",32.2391,-101.4162,"8399",202.3855,"1985","SHC"
"CACP","Carrizo Plain",35.25,-119.85,"5765",104.8182,"1985","SHC"
"NMRO","Roswell",33.397,-104.3983,"3733",53.7122,"1985","SHC"
"TXCC","Corpus Christi",27.8334,-97.5833,"2216",30.3562,"1985","SHC"
"CAST","Stockton",38.116,-121.3954,"2051",25.6055,"1985","SHC"
"TXFR","Freeport",29.0172,-95.3551,"1899",5.772,"1985","SHC"
"TXAP","Attwater Prairie Chicken N.W.R.",29.6344,-96.3667,"1607",20.3934,"1985","SHC"
"OKWA","Washita N.W.R.",35.6495,-99.2797,"1538",53.0345,"1985","SHC"
"CA23","Caswell-Westley",37.6333,-121.2,"1411",25.6545,"1985","SHC"
"FLGA","Gainesville",29.6027,-82.3127,"1385",10.4057,"1985","SHC"
"TXKI","Kingsville",27.4658,-97.8551,"1232",18.4431,"1985","SHC"
"TXWW","Welder Wildlife Refuge",28.1136,-97.4171,"1000",13.3333,"1985","SHC"
"AZEL","Elfrida",31.6667,-109.6833,"800",4.5455,"1985","SHC"
"TXMI","Midland",31.95,-102.0333,"770",13.2759,"1985","SHC"
"TX13","Laguna Atascosa N.W.R.",26.2333,-97.35,"743",12.5932,"1985","SHC"
"TXLS","La Sal Vieja",26.4849,-97.9649,"654",8.7785,"1985","SHC"
"TX1F","Padre Island National Seashore",27.4,-97.3333,"573",19.4237,"1985","SHC"
"TXNB","New Braunfels",29.7,-98.1167,"560",29.4737,"1985","SHC"
"TX09","Lake Thomas",32.5833,-101.1667,"527",52.7,"1985","SHC"
"AZPC","Parker-Colorado River",34.0833,-114.3833,"432",7.4483,"1985","SHC"
"NMCA","Caballo",32.953,-107.3122,"400",12.1212,"1985","SHC"
"TXCF","Corpus Christi (Flour Bluff)",27.6584,-97.2938,"297",3.0619,"1985","SHC"
"CACO","Chico",39.722,-121.8238,"266",4.5085,"1985","SHC"
"FLKV","Kissimmee Valley",28.2062,-81.3936,"215",2.1717,"1985","SHC"
"TXVI","Victoria",28.8723,-97.0784,"209",3.1667,"1985","SHC"
"CAPV","Peace Valley",39.1982,-121.8219,"193",2.7183,"1985","SHC"
"TXRL","Robert Lee",31.9161,-100.4999,"174",5.4375,"1985","SHC"
"FLLW","Lake Wales",27.8939,-81.5189,"155",1.5347,"1985","SHC"
"TXQU","Quitaque",34.4346,-101.0739,"152",6.9091,"1985","SHC"
"TXBR","Brazoria-Columbia Bottomlands",29.1521,-95.5657,"142",1.1225,"1985","SHC"
"FLMR","Myakka River S.P.",27.233,-82.236,"133",1.3142,"1985","SHC"
"FLCS","Corkscrew Swamp Sanctuary",26.3666,-81.5217,"116",1.5263,"1985","SHC"
"TXPA","Port Aransas",27.8502,-97.1,"86",1.303,"1985","SHC"
"TXAR","Aransas N.W.R.",28.2333,-96.8833,"75",1.1194,"1985","SHC"
"NMCC","Carlsbad Caverns N.P.",32.1772,-104.5029,"70",1.4,"1985","SHC"
"FLCO","Cocoa",28.3622,-80.7026,"67",0.67,"1985","SHC"
"TXGA","Galveston",29.3333,-94.8333,"62",0.5741,"1985","SHC"
"GAOK","Okefenokee N.W.R.",30.8001,-82.1333,"53",1.8276,"1985","SHC"
"NMLV","Las Vegas",35.595,-105.2152,"43",4.3,"1985","SHC"
"FLFP","Fort Pierce",27.4177,-80.3828,"37",0.4496,"1985","SHC"
"TXCY","Cypress Creek",29.9561,-95.89,"29",0.3295,"1985","SHC"
"CALS","Los Baños",37.0612,-120.8849,"27",0.2813,"1985","SHC"
"MSJC","Jackson County",30.4366,-88.7119,"26",0.3291,"1985","SHC"
"FLSR","Sarasota",27.2841,-82.4976,"21",0.2069,"1985","SHC"
"TX1P","San Bernard",28.8667,-95.5833,"21",1.8261,"1985","SHC"
"FLST","Stuart",27.2121,-80.2624,"21",0.1696,"1985","SHC"
"NMSE","Sevilleta N.W.R.",34.3167,-106.95,"20",0.5263,"1985","SHC"
"TNHI","Hiwassee",35.3655,-84.92,"18",0.2308,"1985","SHC"
"ALGS","Gulf Shores",30.3167,-87.6333,"18",0.135,"1985","SHC"
"TXBO","Boerne",29.8666,-98.7901,"16",0.2276,"1985","SHC"
"TX20","Armand Bayou",29.55,-95.0667,"16",0.2133,"1985","SHC"
"TXAU","Austin",30.1834,-97.698,"13",0.0743,"1985","SHC"
"FL0V","South Brevard County",27.8667,-80.5667,"12",0.1548,"1985","SHC"
"TXFD","Falcon Dam and S.P.",26.4967,-99.0884,"10",0.5,"1985","SHC"
"CACC","Contra Costa County",37.9538,-121.9923,"8",0.0458,"1985","SHC"
"FL1B","Singing Forest",28.7833,-82.2833,"7",0.3004,"1985","SHC"
"TXSG","San Angelo",31.4439,-100.4823,"7",0.1373,"1985","SHC"
"TXDR","Del Rio",29.4651,-100.9585,"7",0.1944,"1985","SHC"
"FLBA","Bradenton",27.501,-82.5631,"7",0.1,"1985","SHC"
"CAOR","Oroville",39.5178,-121.5499,"7",0.1321,"1985","SHC"
"FLVE","Venice-Englewood",27.0048,-82.3793,"6",0.0723,"1985","SHC"
"TXST","San Antonio",29.3148,-98.608,"6",0.034,"1985","SHC"
"FLBO","Brooksville",28.548,-82.3245,"6",0.0769,"1985","SHC"
"LATR","Tensas River N.W.R.",32.2833,-91.3667,"4",0.0482,"1985","SHC"
"FLWV","West Volusia County",29.0543,-81.3039,"4",0.0597,"1985","SHC"
"AZPO","Portal",31.9009,-109.1364,"4",0.0247,"1985","SHC"
"FLLA","Lakeland",28.0261,-81.8507,"2",0.0191,"1985","SHC"
"FLWP","West Palm Beach",26.5672,-80.127,"2",0.0253,"1985","SHC"
"FLTA","Tampa",28.0107,-82.4595,"2",0.0204,"1985","SHC"
"CAPC","Putah Creek",38.481,-122.0306,"2",0.0156,"1985","SHC"
"INSC","Southern Lake County",41.32,-87.3098,"1",0.0526,"1985","SHC"
"ILUC","Union County",37.4676,-89.4048,"1",0.0155,"1985","SHC"
"CAOA","Oakland",37.8146,-122.233,"1",0.0028,"1985","SHC"
"INCU","Columbus",39.2,-85.9333,"1",0.0263,"1985","SHC"
"CACS","Crystal Springs",37.5184,-122.3751,"1",0.0047,"1985","SHC"
"CA1H","Whitmore",40.65,-121.95,"cw",0,"1985","SHC"
"INNC","New Castle",39.9167,-85.3667,"cw",0,"1985","SHC"
"NMLA","Lakes Avalon-Brantley",32.5661,-104.294,"cw",0,"1985","SHC"
"FL0K","Boca Grande",26.75,-82.2667,"cw",0,"1985","SHC"
"ALEU","Eufaula N.W.R.",31.9939,-85.0886,"cw",0,"1985","SHC"
"TXMU","Muleshoe N.W.R.",33.9563,-102.7783,"17200",1433.3333,"1986","SHC"
"CAST","Stockton",38.116,-121.3954,"9547",70.7185,"1986","SHC"
"TX09","Lake Thomas",32.5833,-101.1667,"7225",425,"1986","SHC"
"TXBS","Big Spring",32.2391,-101.4162,"6744",210.75,"1986","SHC"
"TXSN","Stanton",32.0833,-101.7,"6084",178.9412,"1986","SHC"
"NMBD","Bosque del Apache N.W.R.",33.8051,-106.8907,"5800",313.5135,"1986","SHC"
"TXCC","Corpus Christi",27.8334,-97.5833,"2725",28.3854,"1986","SHC"
"NMRO","Roswell",33.397,-104.3983,"2500",41.6667,"1986","SHC"
"CACP","Carrizo Plain",35.25,-119.85,"2149",46.7174,"1986","SHC"
"TXWW","Welder Wildlife Refuge",28.1136,-97.4171,"1559",18.7831,"1986","SHC"
"FLGA","Gainesville",29.6027,-82.3127,"1452",9.6159,"1986","SHC"
"TXFR","Freeport",29.0172,-95.3551,"1332",3.7,"1986","SHC"
"TXAP","Attwater Prairie Chicken N.W.R.",29.6344,-96.3667,"1058",5.8132,"1986","SHC"
"TXBZ","Brazos Bend",29.3734,-95.6688,"864",5.0233,"1986","SHC"
"NMCA","Caballo",32.953,-107.3122,"750",20.2703,"1986","SHC"
"AZEL","Elfrida",31.6667,-109.6833,"743",4.2216,"1986","SHC"
"CA23","Caswell-Westley",37.6333,-121.2,"735",13.6111,"1986","SHC"
"TXAM","Amarillo",34.9851,-101.7021,"700",33.3333,"1986","SHC"
"TXMI","Midland",31.95,-102.0333,"697",11.2419,"1986","SHC"
"TXLS","La Sal Vieja",26.4849,-97.9649,"667",12.1273,"1986","SHC"
"CAPV","Peace Valley",39.1982,-121.8219,"569",6.7337,"1986","SHC"
"CACO","Chico",39.722,-121.8238,"407",7.0172,"1986","SHC"
"TXBR","Brazoria-Columbia Bottomlands",29.1521,-95.5657,"388",2.7714,"1986","SHC"
"CARB","Red Bluff",40.2074,-122.2117,"386",6.6552,"1986","SHC"
"TXNB","New Braunfels",29.7,-98.1167,"355",14.7917,"1986","SHC"
"TX1E","Padre Island National Seashore",27.3333,-97.3333,"304",6.4,"1986","SHC"
"TX0M","Lubbock County",33.55,-101.75,"301",7.7179,"1986","SHC"
"TXKI","Kingsville",27.4658,-97.8551,"292",4.4377,"1986","SHC"
"FLKV","Kissimmee Valley",28.2062,-81.3936,"259",2.8152,"1986","SHC"
"TXVI","Victoria",28.8723,-97.0784,"244",3.7538,"1986","SHC"
"NMGR","Gila River",32.9152,-108.584,"204",4.9756,"1986","SHC"
"TX13","Laguna Atascosa N.W.R.",26.2333,-97.35,"200",3.0534,"1986","SHC"
"TXAR","Aransas N.W.R.",28.2333,-96.8833,"200",4.0161,"1986","SHC"
"FLLW","Lake Wales",27.8939,-81.5189,"164",1.7263,"1986","SHC"
"GAOK","Okefenokee N.W.R.",30.8001,-82.1333,"131",4.281,"1986","SHC"
"FLEC","Econlockhatchee",28.7094,-81.1467,"115",0.8846,"1986","SHC"
"TNHI","Hiwassee",35.3655,-84.92,"104",1.4247,"1986","SHC"
"TXBV","Brownsville",25.9328,-97.4748,"80",1.2903,"1986","SHC"
"FLMR","Myakka River S.P.",27.233,-82.236,"75",1.0417,"1986","SHC"
"TXCF","Corpus Christi (Flour Bluff)",27.6584,-97.2938,"73",0.8372,"1986","SHC"
"ORSI","Sauvie Island",45.7562,-122.8008,"69",0.807,"1986","SHC"
"TX20","Armand Bayou",29.55,-95.0667,"55",0.6471,"1986","SHC"
"FLCO","Cocoa",28.3622,-80.7026,"47",0.2701,"1986","SHC"
"CALS","Los Baños",37.0612,-120.8849,"41",0.6165,"1986","SHC"
"TXCR","Crawford",31.556,-97.3556,"39",0.621,"1986","SHC"
"FLFP","Fort Pierce",27.4177,-80.3828,"35",0.4332,"1986","SHC"
"TXQU","Quitaque",34.4346,-101.0739,"30",1.3043,"1986","SHC"
"FL0L","Ortona, Glades County",26.8667,-81.3167,"29",1.0741,"1986","SHC"
"TXCY","Cypress Creek",29.9561,-95.89,"28",0.3784,"1986","SHC"
"ALGS","Gulf Shores",30.3167,-87.6333,"26",0.1299,"1986","SHC"
"FLST","Stuart",27.2121,-80.2624,"26",0.2311,"1986","SHC"
"FLWV","West Volusia County",29.0543,-81.3039,"23",0.3226,"1986","SHC"
"TXSB","San Bernard N.W.R.",28.8667,-95.5667,"23",0.5,"1986","SHC"
"TXBF","Buffalo Bayou",29.7715,-95.5699,"22",0.1549,"1986","SHC"
"MSJC","Jackson County",30.4366,-88.7119,"22",0.2803,"1986","SHC"
"FLSR","Sarasota",27.2841,-82.4976,"21",0.1858,"1986","SHC"
"TXGA","Galveston",29.3333,-94.8333,"16",0.1435,"1986","SHC"
"CAMA","Marysville",39.2,-121.5,"15",0.7895,"1986","SHC"
"TXGM","Guadalupe Mountains",31.8923,-104.8137,"14",0.2692,"1986","SHC"
"FLVE","Venice-Englewood",27.0048,-82.3793,"13",0.1281,"1986","SHC"
"TXOS","Osage",29.7333,-96.7167,"13",1.2621,"1986","SHC"
"TXBU","Bell County",30.9667,-97.45,"13",0.3467,"1986","SHC"
"FL13","New Port Richey",28.25,-82.7,"12",0.1558,"1986","SHC"
"FLNP","North Pinellas",28.0672,-82.7388,"11",0.1279,"1986","SHC"
"FLCS","Corkscrew Swamp Sanctuary",26.3666,-81.5217,"11",0.1158,"1986","SHC"
"FLWP","West Palm Beach",26.5672,-80.127,"10",0.0935,"1986","SHC"
"AZPO","Portal",31.9009,-109.1364,"10",0.0781,"1986","SHC"
"CA1G","Creighton Ranch Preserve",36.1167,-119.5333,"10",0.266,"1986","SHC"
"FLBO","Brooksville",28.548,-82.3245,"9",0.1098,"1986","SHC"
"TXBB","Bastrop-Buescher State Parks",30.0866,-97.2484,"8",0.0769,"1986","SHC"
"FLBA","Bradenton",27.501,-82.5631,"7",0.0927,"1986","SHC"
"FL1B","Singing Forest",28.7833,-82.2833,"7",0.3139,"1986","SHC"
"ALEU","Eufaula N.W.R.",31.9939,-85.0886,"7",0.1346,"1986","SHC"
"FL0V","South Brevard County",27.8667,-80.5667,"5",0.0588,"1986","SHC"
"FLLA","Lakeland",28.0261,-81.8507,"5",0.0412,"1986","SHC"
"FLTA","Tampa",28.0107,-82.4595,"4",0.0342,"1986","SHC"
"TXPA","Port Aransas",27.8502,-97.1,"3",0.0714,"1986","SHC"
"TXBN","Burnet County",30.7514,-98.275,"3",0.0414,"1986","SHC"
"TXHO","Houston",29.7497,-94.9492,"2",0.0247,"1986","SHC"
"GAAB","Albany",31.4333,-84.4167,"2",0.117,"1986","SHC"
"CALL","Lost Lake-Fresno",36.95,-119.7,"2",0.0256,"1986","SHC"
"FL0K","Boca Grande",26.75,-82.2667,"2",0.0909,"1986","SHC"
"FLFM","Fort Myers",26.5551,-81.9906,"2",0.0318,"1986","SHC"
"BCCH","Chilliwack",49.1113,-121.9436,"2",0.0317,"1986","SHC"
"OHWH","Western Hamilton County",39.2065,-84.6361,"1",0.0077,"1986","SHC"
"ONPP","Point Pelee",42.0186,-82.5265,"1",0.0077,"1986","SHC"
"INLM","Lake Monroe",39.0152,-86.3984,"1",0.0189,"1986","SHC"
"TNCH","Chattanooga",35.104,-85.2292,"1",0.0091,"1986","SHC"
"FLSM","St. Marks",30.1536,-84.2227,"1",0.0122,"1986","SHC"
"AZNO","Nogales",31.4338,-110.9358,"1",0.0156,"1986","SHC"
"TXCS","College Station",30.593,-96.3175,"1",0.0117,"1986","SHC"
"IN1C","Posey County",37.8833,-87.95,"1",0.0245,"1986","SHC"
"WISP","Stevens Point",44.5243,-89.5688,"1",0.0182,"1986","SHC"
"NJCM","Cape May",39.0123,-74.8778,"1",0.0054,"1986","SHC"
"NMAL","Albuquerque",35.1833,-106.6167,"1",0.0182,"1986","SHC"
"TXMU","Muleshoe N.W.R.",33.9563,-102.7783,"17200",1433.3333,"1986","SHC"
"CAST","Stockton",38.116,-121.3954,"9547",70.7185,"1986","SHC"
"TX09","Lake Thomas",32.5833,-101.1667,"7225",425,"1986","SHC"
"TXBS","Big Spring",32.2391,-101.4162,"6744",210.75,"1986","SHC"
"TXSN","Stanton",32.0833,-101.7,"6084",178.9412,"1986","SHC"
"NMBD","Bosque del Apache N.W.R.",33.8051,-106.8907,"5800",313.5135,"1986","SHC"
"TXCC","Corpus Christi",27.8334,-97.5833,"2725",28.3854,"1986","SHC"
"NMRO","Roswell",33.397,-104.3983,"2500",41.6667,"1986","SHC"
"CACP","Carrizo Plain",35.25,-119.85,"2149",46.7174,"1986","SHC"
"TXWW","Welder Wildlife Refuge",28.1136,-97.4171,"1559",18.7831,"1986","SHC"
"FLGA","Gainesville",29.6027,-82.3127,"1452",9.6159,"1986","SHC"
"TXFR","Freeport",29.0172,-95.3551,"1332",3.7,"1986","SHC"
"TXAP","Attwater Prairie Chicken N.W.R.",29.6344,-96.3667,"1058",5.8132,"1986","SHC"
"TXBZ","Brazos Bend",29.3734,-95.6688,"864",5.0233,"1986","SHC"
"NMCA","Caballo",32.953,-107.3122,"750",20.2703,"1986","SHC"
"AZEL","Elfrida",31.6667,-109.6833,"743",4.2216,"1986","SHC"
"CA23","Caswell-Westley",37.6333,-121.2,"735",13.6111,"1986","SHC"
"TXAM","Amarillo",34.9851,-101.7021,"700",33.3333,"1986","SHC"
"TXMI","Midland",31.95,-102.0333,"697",11.2419,"1986","SHC"
"TXLS","La Sal Vieja",26.4849,-97.9649,"667",12.1273,"1986","SHC"
"CAPV","Peace Valley",39.1982,-121.8219,"569",6.7337,"1986","SHC"
"CACO","Chico",39.722,-121.8238,"407",7.0172,"1986","SHC"
"TXBR","Brazoria-Columbia Bottomlands",29.1521,-95.5657,"388",2.7714,"1986","SHC"
"CARB","Red Bluff",40.2074,-122.2117,"386",6.6552,"1986","SHC"
"TXNB","New Braunfels",29.7,-98.1167,"355",14.7917,"1986","SHC"
"TX1E","Padre Island National Seashore",27.3333,-97.3333,"304",6.4,"1986","SHC"
"TX0M","Lubbock County",33.55,-101.75,"301",7.7179,"1986","SHC"
"TXKI","Kingsville",27.4658,-97.8551,"292",4.4377,"1986","SHC"
"FLKV","Kissimmee Valley",28.2062,-81.3936,"259",2.8152,"1986","SHC"
"TXVI","Victoria",28.8723,-97.0784,"244",3.7538,"1986","SHC"
"NMGR","Gila River",32.9152,-108.584,"204",4.9756,"1986","SHC"
"TX13","Laguna Atascosa N.W.R.",26.2333,-97.35,"200",3.0534,"1986","SHC"
"TXAR","Aransas N.W.R.",28.2333,-96.8833,"200",4.0161,"1986","SHC"
"FLLW","Lake Wales",27.8939,-81.5189,"164",1.7263,"1986","SHC"
"GAOK","Okefenokee N.W.R.",30.8001,-82.1333,"131",4.281,"1986","SHC"
"FLEC","Econlockhatchee",28.7094,-81.1467,"115",0.8846,"1986","SHC"
"TNHI","Hiwassee",35.3655,-84.92,"104",1.4247,"1986","SHC"
"TXBV","Brownsville",25.9328,-97.4748,"80",1.2903,"1986","SHC"
"FLMR","Myakka River S.P.",27.233,-82.236,"75",1.0417,"1986","SHC"
"TXCF","Corpus Christi (Flour Bluff)",27.6584,-97.2938,"73",0.8372,"1986","SHC"
"ORSI","Sauvie Island",45.7562,-122.8008,"69",0.807,"1986","SHC"
"TX20","Armand Bayou",29.55,-95.0667,"55",0.6471,"1986","SHC"
"FLCO","Cocoa",28.3622,-80.7026,"47",0.2701,"1986","SHC"
"CALS","Los Baños",37.0612,-120.8849,"41",0.6165,"1986","SHC"
"TXCR","Crawford",31.556,-97.3556,"39",0.621,"1986","SHC"
"FLFP","Fort Pierce",27.4177,-80.3828,"35",0.4332,"1986","SHC"
"TXQU","Quitaque",34.4346,-101.0739,"30",1.3043,"1986","SHC"
"FL0L","Ortona, Glades County",26.8667,-81.3167,"29",1.0741,"1986","SHC"
"TXCY","Cypress Creek",29.9561,-95.89,"28",0.3784,"1986","SHC"
"ALGS","Gulf Shores",30.3167,-87.6333,"26",0.1299,"1986","SHC"
"FLST","Stuart",27.2121,-80.2624,"26",0.2311,"1986","SHC"
"FLWV","West Volusia County",29.0543,-81.3039,"23",0.3226,"1986","SHC"
"TXSB","San Bernard N.W.R.",28.8667,-95.5667,"23",0.5,"1986","SHC"
"TXBF","Buffalo Bayou",29.7715,-95.5699,"22",0.1549,"1986","SHC"
"MSJC","Jackson County",30.4366,-88.7119,"22",0.2803,"1986","SHC"
"FLSR","Sarasota",27.2841,-82.4976,"21",0.1858,"1986","SHC"
"TXGA","Galveston",29.3333,-94.8333,"16",0.1435,"1986","SHC"
"CAMA","Marysville",39.2,-121.5,"15",0.7895,"1986","SHC"
"TXGM","Guadalupe Mountains",31.8923,-104.8137,"14",0.2692,"1986","SHC"
"FLVE","Venice-Englewood",27.0048,-82.3793,"13",0.1281,"1986","SHC"
"TXOS","Osage",29.7333,-96.7167,"13",1.2621,"1986","SHC"
"TXBU","Bell County",30.9667,-97.45,"13",0.3467,"1986","SHC"
"FL13","New Port Richey",28.25,-82.7,"12",0.1558,"1986","SHC"
"FLNP","North Pinellas",28.0672,-82.7388,"11",0.1279,"1986","SHC"
"FLCS","Corkscrew Swamp Sanctuary",26.3666,-81.5217,"11",0.1158,"1986","SHC"
"FLWP","West Palm Beach",26.5672,-80.127,"10",0.0935,"1986","SHC"
"AZPO","Portal",31.9009,-109.1364,"10",0.0781,"1986","SHC"
"CA1G","Creighton Ranch Preserve",36.1167,-119.5333,"10",0.266,"1986","SHC"
"FLBO","Brooksville",28.548,-82.3245,"9",0.1098,"1986","SHC"
